Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
A2C1S1,0.009,0.305,0.751,0.616,0.659,0.021,0.097,4,7,867.857,1627,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4728.322,150.582,3599.801,LIMIT,TIME_LIM_SOL,"11,848.3391","4,728.3215",150.5823%,1,0.11,3599.96
B2C1S1,0.009,0.41,0.756,0.719,0.755,0.014,0.066,4,13,580.462,2064,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17449.665,98.249,3599.458,LIMIT,TIME_LIM_SOL,"34,593.8300","17,449.6651",98.2492%,1,0.17,3599.83
CMS750_4,0.014,0.674,0.732,0.999,0.92,0.004,0,4,4,9342.25,12393,5494,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,91.27,3277.743,LIMIT,TIME_LIM_SOL,482.0000,252.0000,91.2698%,2,1.64,3599.99
D_9_9_3,0.007,0,0.747,1,0,0.469,0,4,4,1971,2265,1713,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56E14,3599.847,LIMIT,TIME_LIM_SOL,156.0000,0.0000,1.56E14%,1,0.11,3599.97
NSR8K,0.247,0.104,0.77,0.165,0.818,0.01,0.36,4,5,32315.2,44076,8519,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11472921.195,42207.991,3595.066,LIMIT,TIME_LIM_SOL,"4,853,962,516.0000","11,472,921.1950",42207.990%,1,2.96,3599.15
TstCase3_txt,0.002,0.857,0.881,0.973,1,0,0.005,4,59,78.119,1213,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.829,0.067,1.294,SOLVED,OPTIMAL,8.8352,8.8352,0.0000%,9,0.15,5.89
a1c1s1,0.008,0.402,0.753,0.565,0.945,0.003,0.114,4,10,658.4,1766,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5698.684,144.378,3599.512,LIMIT,TIME_LIM_SOL,"13,926.3493","5,698.6840",144.3783%,1,0.16,3600.05
a280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"2,550.0000","2,550.0000",0.0000%,1951,0.59,8.19
a280MTZ,0.034,0.632,0.751,0.976,0.863,0.007,0.005,4,283,1098.254,77896,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2534,8.8,3582.178,LIMIT,TIME_LIM_SOL,"2,757.0000","2,534.0000",8.8003%,1,1.46,3591.82
aaa1,0.001,0.931,0.931,1,1,0,0,4,39,59.256,389,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584654.084,0,0.056,SOLVED,OPTIMAL_RGAP,"1,584,654.8024","1,584,654.0845",0.0000%,1,0.76,0.83
