Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/a1c1s1_decomp_automatic1_log.txt:FS: 0.011 0.177 0.750 0.642 0.367 0.050 0.089 4 10 1018.000 2798 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 9783.054 29.248 3585.610
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/a280MTZ_decomp_automatic1_log.txt:FS: 0.035 0.626 0.751 0.976 0.853 0.008 0.005 4 284 1096.887 78189 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 2534.000 8.800 3577.326
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/A2C1S1_decomp_automatic1_log.txt:FS: 0.011 0.123 0.751 0.678 0.241 0.071 0.078 4 12 926.417 3033 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 9746.740 45.159 3587.600
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/acc3_decomp_automatic1_log.txt:FS: 0.012 0.006 0.745 0.888 0.009 0.234 0.024 4 6 1894.833 3512 6 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 0.000 0.000 0.157
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/acc6_decomp_automatic1_log.txt:FS: 0.007 0.178 0.788 0.431 0.525 0.032 0.168 4 79 67.671 1738 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 0.000 1.340781E156 16.739
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/acc_tight5_decomp_automatic1_log.txt:FS: 0.008 0.001 0.759 0.528 0.003 0.291 0.128 4 80 69.475 1566 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 0.000 1.340781E156 52.855
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/acc_tight6_decomp_automatic1_log.txt:FS: 0.007 0.178 0.788 0.431 0.525 0.032 0.168 4 79 67.671 1738 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 0.000 1.340781E156 16.922
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/aflow30a_decomp_automatic1_log.txt:FS: 0.004 0.279 0.865 0.399 0.807 0.011 0.184 4 205 7.449 342 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 1104.182 4.965 6.760
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/aflow40b_decomp_automatic1_log.txt:FS: 0.010 0.630 0.918 0.696 0.985 0.001 0.072 4 53 94.283 885 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 1089.510 12.619 8.448
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/airland4_R3_decomp_automatic1_log.txt:FS: 0.005 0.000 0.746 1.000 0.000 0.460 0.000 4 4 1309.750 1505 1133 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 95.000 436.842 159.522
