Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/a1c1s1_decomp_automatic1_log.txt:FS: 0.008 0.402 0.753 0.565 0.945 0.003 0.114 4 10 658.400 1766 4 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 5698.684 144.378 3599.512
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/a280MTZ_decomp_automatic1_log.txt:FS: 0.034 0.632 0.751 0.976 0.863 0.007 0.005 4 283 1098.254 77896 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 2534.000 8.800 3582.178
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/A2C1S1_decomp_automatic1_log.txt:FS: 0.009 0.305 0.751 0.616 0.659 0.021 0.097 4 7 867.857 1627 3 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 4728.322 150.582 3599.801
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/aaa1_decomp_automatic1_log.txt:FS: 0.001 0.931 0.931 1.000 1.000 0.000 0.000 4 39 59.256 389 2 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 1584654.084 0.000 0.056
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/acc3_decomp_automatic1_log.txt:FS: 0.013 0.005 0.734 0.888 0.008 0.244 0.024 4 13 868.154 3976 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 0.000 1.340781E156 77.644
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/acc4_decomp_automatic1_log.txt:FS: 0.013 0.006 0.747 0.893 0.008 0.238 0.023 4 4 2844.000 3278 2493 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 0.000 0.000 5.680
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/acc6_decomp_automatic1_log.txt:FS: 0.007 0.185 0.774 0.412 0.581 0.027 0.177 4 25 212.720 1427 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 0.000 1.340781E156 15.769
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/acc_tight4_decomp_automatic1_log.txt:FS: 0.013 0.006 0.747 0.893 0.008 0.238 0.023 4 4 2844.000 3278 2493 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 0.000 0.000 5.688
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/acc_tight5_decomp_automatic1_log.txt:FS: 0.007 0.116 0.756 0.430 0.358 0.051 0.169 4 35 154.057 1528 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 0.000 1.340781E156 22.245
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/acc_tight6_decomp_automatic1_log.txt:FS: 0.007 0.185 0.774 0.412 0.581 0.027 0.177 4 25 212.720 1427 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 0.000 1.340781E156 15.729
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/actv10a_full_decomp_automatic1_log.txt:FS: 0.251 0.747 1.000 0.747 1.000 0.000 0.058 4 2268 179.727 208 155 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 4667308.041 0.002 956.022
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/aflow30a_decomp_automatic1_log.txt:FS: 0.003 0.585 0.889 0.658 1.000 0.000 0.084 4 176 6.386 270 2 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 983.167 22.766 1.549
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/aflow40b_decomp_automatic1_log.txt:FS: 0.005 0.843 0.975 0.864 1.000 0.000 0.029 4 147 27.054 114 2 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 1005.682 22.206 5.471
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/afpc_decomp_automatic1_log.txt:FS: 0.007 0.375 0.920 0.407 1.000 0.000 0.180 4 165 18.600 841 2 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 27300.000 0.000 0.420
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/air03_decomp_automatic1_log.txt:FS: 0.009 0.021 0.334 0.064 1.000 0.000 0.550 4 7 414.286 2322 5 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 338864.250 0.382 8.080
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/airland4_R3_decomp_automatic1_log.txt:FS: 0.005 0.000 0.748 0.991 0.000 0.464 0.002 4 6 858.333 1498 3 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 70.000 2900.000 164.188
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/airland8_R2_decomp_automatic1_log.txt:FS: 0.022 0.049 0.748 1.000 0.065 0.137 0.000 4 4 7061.750 8178 6652 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 30.000 3333.333 3599.357
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/amgen_divided_decomp_automatic1_log.txt:FS: 0.280 0.055 0.761 0.968 0.074 0.130 0.007 4 21 16616.381 90170 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 26595619.459 91.475 3586.124
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/app1_2_decomp_automatic1_log.txt:FS: 0.012 0.741 0.750 1.000 0.988 0.001 0.000 4 4 36328.750 36992 35400 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 -43.000 4.651 3562.668
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/arki001_decomp_automatic1_log.txt:FS: 0.005 0.755 0.947 0.798 1.000 0.000 0.045 4 19 592.684 741 465 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 7580600.079 0.030 16.631
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/atlanta_ip_decomp_automatic1_log.txt:FS: 0.087 0.510 0.675 0.999 0.757 0.014 0.000 4 4 41895.750 81685 26302 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 59.401 152.544 3572.012
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/atm20_100_decomp_automatic1_log.txt:FS: 0.017 0.838 0.950 0.882 1.000 0.000 0.025 4 20 1560.650 1793 1401 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 2463113.334 0.021 105.541
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/atm_icic_decomp_automatic1_log.txt:FS: 0.089 0.822 0.948 0.867 1.000 0.000 0.028 4 20 10441.500 12726 3418 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 2343761365.8 0.000 176.471
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/atm_miplib2010_decomp_automatic1_log.txt:FS: 0.017 0.838 0.950 0.882 1.000 0.000 0.025 4 20 1559.950 1793 1401 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 2463113.334 0.021 96.603
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/att532MTZ_decomp_automatic1_log.txt:FS: 0.138 0.686 0.750 0.988 0.925 0.004 0.003 4 535 2106.135 282072 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 26625.000 62.336 3417.571
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/B2C1S1_decomp_automatic1_log.txt:FS: 0.009 0.410 0.756 0.719 0.755 0.014 0.066 4 13 580.462 2064 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 17449.665 98.249 3599.458
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/bab5_decomp_automatic1_log.txt:FS: 0.056 0.487 0.759 0.694 0.924 0.004 0.073 4 20 2401.500 12551 22 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 -350179.804 91.272 3589.976
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/bank_bad_decomp_automatic1_log.txt:FS: 0.061 0.981 0.996 0.984 1.000 0.000 0.003 4 320 2111.300 3776 482 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 9.000 0.000 36.475
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/bank_good_decomp_automatic1_log.txt:FS: 0.060 0.981 0.996 0.984 1.000 0.000 0.003 4 320 2111.300 3776 482 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 31.000 0.000 30.002
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/batho_improved_decomp_automatic1_log.txt:FS: 0.141 0.648 0.819 0.792 0.999 0.000 0.047 4 7 29588.429 55669 3569 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 1478.250 1.340781E156 36.147
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/batho_orig_decomp_automatic1_log.txt:FS: 0.142 0.552 0.784 0.708 0.995 0.000 0.069 4 11 19141.364 61747 6 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 1478.250 1.340781E156 896.080
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/bc1_decomp_automatic1_log.txt:FS: 0.067 0.000 0.648 1.000 0.000 0.906 0.000 4 4 56358.250 115393 19543 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 2.189 56.194 3594.144
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/bc_decomp_automatic1_log.txt:FS: 0.068 0.000 0.521 0.997 0.000 0.760 0.001 4 4 56638.000 150390 20701 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 4.289 669.402 3594.274
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/bdry0_79_decomp_automatic1_log.txt:FS: 0.018 0.415 0.751 0.937 0.590 0.026 0.013 4 25 1480.760 9275 4 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 21.751 1.340781E156 863.887
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/bdry1_79_decomp_automatic1_log.txt:FS: 0.018 0.415 0.751 0.937 0.590 0.026 0.013 4 25 1480.760 9275 4 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 24.628 1.340781E156 831.388
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/beasleyc3_decomp_automatic1_log.txt:FS: 0.004 0.669 0.799 0.837 1.000 0.000 0.036 4 33 92.848 746 2 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 574.332 58.967 26.304
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_auto4_bench/bell3a_decomp_automatic1_log.txt:FS: 0.001 0.132 0.760 0.677 0.256 0.068 0.078 4 6 30.000 46 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 873792.059 0.531 1.401
