Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
A2C1S1,0.011,0.123,0.751,0.678,0.241,0.071,0.078,4,12,926.417,3033,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9746.74,45.159,3587.6,LIMIT,TIME_LIM_SOL,"14,148.2716","9,746.7396",45.1590%,1,0.11,3600.06
B2C1S1,0.012,0.21,0.749,0.641,0.437,0.041,0.089,4,15,731.133,3226,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17901.432,257.134,3569.488,LIMIT,TIME_LIM_SOL,"63,932.0600","17,901.4319",257.1338%,1,0.17,3600.01
CMS750_4,0.016,0.677,0.732,0.999,0.926,0.004,0,4,4,10740.75,14507,6320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,12.698,3593.008,LIMIT,TIME_LIM_SOL,284.0000,252.0000,12.6984%,1,1.65,3600.06
D_9_9_3,0.008,0,0.746,0.96,0,0.471,0.008,4,4,1988.75,2341,1610,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2E13,3598.602,LIMIT,TIME_LIM_SOL,52.0000,0.0000,5.2E13%,1,0.11,3599.98
NSR8K,0.228,0.113,0.738,0.18,0.854,0.008,0.343,4,6,27149.5,54045,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17501383.414,27063.731,538.152,LIMIT,TIME_LIM_SOL,"4,754,028,637.0000","17,501,383.4140",27063.730%,1,2.97,3599.36
TstCase3_txt,0.002,0.706,0.745,0.947,1,0,0.011,4,4,877.25,1070,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.835,0.005,0.183,SOLVED,OPTIMAL_RGAP,8.8352,8.8348,0.0047%,1,0.17,0.95
a1c1s1,0.011,0.177,0.75,0.642,0.367,0.05,0.089,4,10,1018,2798,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9783.054,29.248,3585.61,LIMIT,TIME_LIM_SOL,"12,644.4254","9,783.0540",29.2482%,1,0.16,3600.00
a280MTZ,0.035,0.626,0.751,0.976,0.853,0.008,0.005,4,284,1096.887,78189,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2534,8.8,3577.326,LIMIT,TIME_LIM_SOL,"2,757.0000","2,534.0000",8.8003%,1,1.46,3599.84
aaa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL_RGAP,"1,584,740.3560","1,584,584.2660",0.0099%,1,0.77,0.86
acc3,0.012,0.006,0.745,0.888,0.009,0.234,0.024,4,6,1894.833,3512,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,1,0.37,11.00
