Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
A2C1S1,0.057,0.412,0.502,0.827,0.992,0,0.038,2,4,1821.5,3740,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8840.995,51.437,3599.721,LIMIT,TIME_LIM_SOL,"13,388.5043","8,840.9948",51.4366%,1,0.11,3599.90
B2C1S1,0.06,0.429,0.601,0.82,0.872,0.007,0.04,3,7,1146.286,4382,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18016.64,92.01,3599.397,LIMIT,TIME_LIM_SOL,"34,593.8300","18,016.6400",92.0104%,1,0.17,3599.77
CMS750_4,0.117,0.733,0.882,0.999,0.832,0.009,0,9,9,4151.778,6517,2546,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,76.984,1434.303,LIMIT,TIME_LIM_SOL,446.0000,252.0000,76.9841%,15,1.66,3599.84
D_9_9_3,0.045,0.026,0.499,1,0.052,0.148,0,2,2,3942,4146,3738,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56E14,3599.787,LIMIT,TIME_LIM_SOL,156.0000,0.0000,1.56E14%,1,0.10,3599.94
NSR8K,1.979,0.173,0.537,0.378,0.85,0.008,0.194,2,3,72268,104643,8519,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13543902.392,43512.877,3591.884,LIMIT,TIME_LIM_SOL,"5,906,885,505.0000","13,543,902.3920",43512.880%,1,2.97,3597.45
TstCase3_txt,0.012,0.885,0.915,0.967,1,0,0.007,6,60,76.717,730,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.829,0.067,0.741,SOLVED,OPTIMAL_RGAP,8.8352,8.8351,0.0003%,7,0.15,3.12
a1c1s1,0.057,0.412,0.5,0.831,0.992,0,0.037,2,3,2457.333,3778,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8760.274,61.481,3599.536,LIMIT,TIME_LIM_SOL,"14,146.1491","8,760.2741",61.4807%,1,0.16,3599.95
a280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"2,550.0000","2,550.0000",0.0000%,1951,0.59,8.20
a280MTZ,0.204,0.643,0.801,0.976,0.822,0.01,0.005,5,284,1094.387,62320,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2534,8.8,3582.452,LIMIT,TIME_LIM_SOL,"2,757.0000","2,534.0000",8.8003%,1,1.45,3588.48
aaa1,0.006,0.931,0.931,1,1,0,0,3,39,59.256,389,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584654.084,0,0.051,SOLVED,OPTIMAL_RGAP,"1,584,654.8024","1,584,654.0845",0.0000%,1,0.77,0.84
acc3,0.094,0.064,0.481,0.892,0.15,0.095,0.023,2,2,5656.5,6768,4545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.340781E156,421.032,LIMIT,TIME_LIM_NOSOL,,0.0000,,5,0.36,3599.77
acc4,0.094,0.088,0.5,0.893,0.197,0.081,0.023,2,2,5688,5771,5605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.723,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,1,0.38,6.33
acc6,0.051,0.185,0.774,0.412,0.581,0.027,0.177,4,25,212.72,1427,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.340781E156,15.772,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,19,0.59,298.84
acc_tight4,0.094,0.088,0.5,0.893,0.197,0.081,0.023,2,2,5688,5771,5605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.724,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,1,0.38,6.34
acc_tight5,0.048,0.164,0.488,0.556,0.605,0.025,0.117,2,22,269.182,3520,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.340781E156,224.988,LIMIT,TIME_LIM_NOSOL,,0.0000,,18,0.59,3599.83
acc_tight6,0.051,0.185,0.774,0.412,0.581,0.027,0.177,4,25,212.72,1427,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.340781E156,15.822,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,19,0.59,298.13
actv10a_full,1.36,0.747,1,0.747,1,0,0.058,22,2268,179.727,208,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4667308.041,0,936.957,SOLVED,OPTIMAL_RGAP,"4,667,315.4239","4,667,308.0414",0.0002%,1,10.44,957.65
aflow30a,0.016,0.627,0.972,0.644,1,0,0.088,10,196,5.51,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983.167,19.003,1.382,SOLVED,OPTIMAL,"1,158.0000","1,158.0000",0.0000%,41382,0.05,3118.12
aflow40b,0.03,0.843,0.975,0.864,1,0,0.029,7,147,27.054,114,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005.682,22.206,5.474,LIMIT,TIME_LIM_SOL,"1,229.0000","1,091.7146",12.5752%,53789,0.14,3599.88
afpc,0.041,0.423,0.777,0.544,1,0,0.122,3,92,45.043,1755,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27300,0,0.374,SOLVED,OPTIMAL,"27,300.0000","27,300.0000",0.0000%,1,0.11,0.55
air03,0.06,0.021,0.334,0.064,1,0,0.55,4,7,414.286,2322,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338864.25,0.382,8.15,SOLVED,OPTIMAL,"340,160.0000","340,160.0000",0.0000%,3,0.51,10.37
air04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"56,137.0000","56,137.0000",0.0000%,272,4.96,24.83
air05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL_RGAP,"26,374.0000","26,372.5600",0.0055%,525,2.70,22.90
airland4_R3,0.031,0.025,0.496,1,0.05,0.15,0,2,2,2581,2823,2339,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,30,88.707,SOLVED,OPTIMAL_RGAP,130.0000,130.0000,0.0000%,55,0.05,1948.09
airland8_R2,0.14,0.213,0.499,1,0.427,0.043,0,2,2,14123.5,14830,13417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,3095.984,SOLVED,OPTIMAL,135.0000,135.0000,0.0000%,1,0.65,3165.71
aligninq,0.042,0.133,0.436,0.319,0.957,0.002,0.228,2,3,406.333,853,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2661.907,1.919,38.362,LIMIT,TIME_LIM_SOL,"2,713.0000","2,686.3751",0.9911%,184,0.39,3599.20
amgen_divided,2.537,0.225,0.524,0.973,0.441,0.041,0.006,2,12,29229.5,171578,585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18194467.789,87.538,3581.55,LIMIT,TIME_LIM_SOL,"2,267,324.8345","18,194,467.7890",87.5384%,1,12.45,3596.87
app1_2,0.061,0.881,0.936,1,0.941,0.003,0,16,16,9082.188,9600,3600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44.196,7.23,1510.431,LIMIT,TIME_LIM_SOL,-41.0000,-44.1955,7.2304%,6,6.35,3582.32
