Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_automatic1_v940m5b_automatic_stats1_hybrid_auto4_bench/a1c1s1_decomp_automatic1_log.txt:FS: 0.081 0.289 0.500 0.865 0.668 0.020 0.029 2 2 5620.000 5665 5575 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 10232.343 25.727 3585.723
optmilp_20180405_decomp_automatic1_v940m5b_automatic_stats1_hybrid_auto4_bench/a280MTZ_decomp_automatic1_log.txt:FS: 0.203 0.636 0.801 0.976 0.813 0.010 0.005 5 285 1093.039 62562 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 2534.000 8.800 3577.055
optmilp_20180405_decomp_automatic1_v940m5b_automatic_stats1_hybrid_auto4_bench/A2C1S1_decomp_automatic1_log.txt:FS: 0.081 0.308 0.500 0.883 0.698 0.018 0.025 2 2 6011.000 6166 5856 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 9746.740 42.497 3587.108
optmilp_20180405_decomp_automatic1_v940m5b_automatic_stats1_hybrid_auto4_bench/acc3_decomp_automatic1_log.txt:FS: 0.091 0.087 0.499 0.893 0.194 0.082 0.023 2 2 5698.000 5948 5448 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 0.000 0.000 0.194
optmilp_20180405_decomp_automatic1_v940m5b_automatic_stats1_hybrid_auto4_bench/acc6_decomp_automatic1_log.txt:FS: 0.050 0.183 0.843 0.413 0.525 0.032 0.177 5 101 51.802 1005 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 0.000 1.340781E156 14.674
optmilp_20180405_decomp_automatic1_v940m5b_automatic_stats1_hybrid_auto4_bench/acc_tight5_decomp_automatic1_log.txt:FS: 0.054 0.026 0.487 0.695 0.076 0.129 0.073 2 51 124.608 3879 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 0.000 1.340781E156 446.485
optmilp_20180405_decomp_automatic1_v940m5b_automatic_stats1_hybrid_auto4_bench/acc_tight6_decomp_automatic1_log.txt:FS: 0.050 0.183 0.843 0.413 0.525 0.032 0.177 5 101 51.802 1005 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 0.000 1.340781E156 14.714
optmilp_20180405_decomp_automatic1_v940m5b_automatic_stats1_hybrid_auto4_bench/aflow30a_decomp_automatic1_log.txt:FS: 0.027 0.283 0.818 0.399 0.867 0.007 0.184 3 204 7.485 502 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 1104.187 5.145 6.177
optmilp_20180405_decomp_automatic1_v940m5b_automatic_stats1_hybrid_auto4_bench/aflow40b_decomp_automatic1_log.txt:FS: 0.062 0.638 0.932 0.694 0.985 0.001 0.073 8 54 91.907 600 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 1089.510 11.885 7.074
optmilp_20180405_decomp_automatic1_v940m5b_automatic_stats1_hybrid_auto4_bench/airland4_R3_decomp_automatic1_log.txt:FS: 0.032 0.025 0.493 1.000 0.050 0.150 0.000 2 2 2619.500 2934 2305 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 115.000 326.087 68.145
