Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_automatic1_v940m5b_automatic_stats1_auto4_bench/a1c1s1_decomp_automatic1_log.txt:FS: 0.057 0.412 0.500 0.831 0.992 0.000 0.037 2 3 2457.333 3778 4 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 8760.274 61.481 3599.536
optmilp_20180405_decomp_automatic1_v940m5b_automatic_stats1_auto4_bench/a280MTZ_decomp_automatic1_log.txt:FS: 0.204 0.643 0.801 0.976 0.822 0.010 0.005 5 284 1094.387 62320 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 2534.000 8.800 3582.452
optmilp_20180405_decomp_automatic1_v940m5b_automatic_stats1_auto4_bench/A2C1S1_decomp_automatic1_log.txt:FS: 0.057 0.412 0.502 0.827 0.992 0.000 0.038 2 4 1821.500 3740 4 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 8840.995 51.437 3599.721
optmilp_20180405_decomp_automatic1_v940m5b_automatic_stats1_auto4_bench/aaa1_decomp_automatic1_log.txt:FS: 0.006 0.931 0.931 1.000 1.000 0.000 0.000 3 39 59.256 389 2 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 1584654.084 0.000 0.051
optmilp_20180405_decomp_automatic1_v940m5b_automatic_stats1_auto4_bench/acc3_decomp_automatic1_log.txt:FS: 0.094 0.064 0.481 0.892 0.150 0.095 0.023 2 2 5656.500 6768 4545 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 0.000 1.340781E156 421.032
optmilp_20180405_decomp_automatic1_v940m5b_automatic_stats1_auto4_bench/acc4_decomp_automatic1_log.txt:FS: 0.094 0.088 0.500 0.893 0.197 0.081 0.023 2 2 5688.000 5771 5605 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 0.000 0.000 5.723
optmilp_20180405_decomp_automatic1_v940m5b_automatic_stats1_auto4_bench/acc6_decomp_automatic1_log.txt:FS: 0.051 0.185 0.774 0.412 0.581 0.027 0.177 4 25 212.720 1427 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 0.000 1.340781E156 15.772
optmilp_20180405_decomp_automatic1_v940m5b_automatic_stats1_auto4_bench/acc_tight4_decomp_automatic1_log.txt:FS: 0.094 0.088 0.500 0.893 0.197 0.081 0.023 2 2 5688.000 5771 5605 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 0.000 0.000 5.724
optmilp_20180405_decomp_automatic1_v940m5b_automatic_stats1_auto4_bench/acc_tight5_decomp_automatic1_log.txt:FS: 0.048 0.164 0.488 0.556 0.605 0.025 0.117 2 22 269.182 3520 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 0.000 1.340781E156 224.988
optmilp_20180405_decomp_automatic1_v940m5b_automatic_stats1_auto4_bench/acc_tight6_decomp_automatic1_log.txt:FS: 0.051 0.185 0.774 0.412 0.581 0.027 0.177 4 25 212.720 1427 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 0.000 1.340781E156 15.822
