Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
A2C1S1,0.081,0.308,0.5,0.883,0.698,0.018,0.025,2,2,6011,6166,5856,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9746.74,42.497,3587.108,LIMIT,TIME_LIM_SOL,"13,888.7734","9,746.7396",42.4966%,1,0.11,3599.90
B2C1S1,0.08,0.312,0.498,0.84,0.745,0.015,0.035,2,4,3277.25,7077,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18798.65,244.637,3569.359,LIMIT,TIME_LIM_SOL,"64,787.1700","18,798.6500",244.6374%,1,0.17,3599.89
CMS750_4,0.138,0.745,0.846,0.998,0.882,0.006,0,7,7,6136.143,7964,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,7.143,1709.291,LIMIT,TIME_LIM_SOL,270.0000,252.0000,7.1429%,13,1.65,3600.23
D_9_9_3,0.052,0.023,0.494,0.968,0.049,0.151,0.007,2,2,3994,4437,3551,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2E13,3598.536,LIMIT,TIME_LIM_SOL,52.0000,0.0000,5.2E13%,1,0.20,3599.19
NSR8K,1.883,0.163,0.489,0.372,0.894,0.006,0.198,2,3,71857.667,123639,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17501383.414,32563.69,536.038,LIMIT,TIME_LIM_SOL,"5,716,597,688.0000","17,501,383.4140",32563.690%,1,2.97,3597.79
TstCase3_txt,0.018,0.706,0.745,0.947,1,0,0.011,4,4,877.25,1070,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.835,0.005,0.183,SOLVED,OPTIMAL_RGAP,8.8352,8.8348,0.0047%,1,0.17,0.97
a1c1s1,0.081,0.289,0.5,0.865,0.668,0.02,0.029,2,2,5620,5665,5575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10232.343,25.727,3585.723,LIMIT,TIME_LIM_SOL,"12,864.8203","10,232.3429",25.7270%,1,0.17,3599.89
a280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"2,550.0000","2,550.0000",0.0000%,1951,0.59,8.23
a280MTZ,0.203,0.636,0.801,0.976,0.813,0.01,0.005,5,285,1093.039,62562,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2534,8.8,3577.055,LIMIT,TIME_LIM_SOL,"2,757.0000","2,534.0000",8.8003%,1,1.46,3599.45
aaa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL_RGAP,"1,584,740.3560","1,584,584.2660",0.0099%,1,0.76,0.84
