Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
A2C1S1,0.058,0.412,0.502,0.827,0.992,0,0.038,2,4,1821.5,3740,4,1,0,0.458,5,150,0.205,5,264,0.386,67,0.674,0.415,0.499,0.831,0.037,2,2,3659.5,3791,3528,0.673,5,263,150,8840.926,57.472,3598.324,LIMIT,TIME_LIM_SOL,"13,922.0115","8,840.9261",57.4723%,1,0.12,3599.21
B2C1S1,0.061,0.429,0.601,0.82,0.872,0.007,0.04,3,7,1146.286,4382,4,1,0,0.381,5,103,0.193,5,234,0.329,52,0.578,0.43,0.502,0.857,0.031,3,3,2893.333,4370,16,0.119,0,48,24,18358.12,87.744,3598.208,LIMIT,TIME_LIM_SOL,"34,466.3500","18,358.1200",87.7444%,1,0.17,3599.21
CMS750_4,0.117,0.733,0.882,0.999,0.832,0.009,0,9,9,4151.778,6517,2546,1,0,0.426,5,27,0.63,5,244,0.376,14,1.064,0.187,0.416,0.449,0.16,15,15,2137.667,24361,160,0.112,0,20,5,252,76.984,1446.635,LIMIT,TIME_LIM_SOL,446.0000,252.0000,76.9841%,15,1.63,3598.78
D_9_9_3,0.045,0.026,0.499,1,0.052,0.148,0,2,2,3942,4146,3738,1,0,0.027,4,8,0.006,3,11,0.023,8,0.036,0.699,0.875,0.799,0.045,8,8,864,864,864,0.031,2,10,7,0,0,0.744,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,170,0.11,907.99
NSR8K,1.972,0.173,0.537,0.378,0.85,0.008,0.194,2,3,72268,104643,8519,1,0,12.91,5,745,3.995,5,335,7.256,119,16.951,0.119,0.537,0.222,0.301,3,3,62597.667,93606,7563,0.034,0,0,0,13543902.392,43512.877,3557.946,LIMIT,TIME_LIM_SOL,"5,906,885,505.0000","13,543,902.3920",43512.880%,1,2.95,3580.48
TstCase3_txt,0.014,0.885,0.915,0.967,1,0,0.007,6,60,76.717,730,7,0,0,0.012,2,8,0.008,2,26,0.01,4,0.031,0.895,0.945,0.947,0.011,63,63,72.587,521,7,0.018,0,5,4,8.773,0.708,0.732,ERROR,OPTIMAL_COND,8.8352,8.8345,0.0073%,29,0.15,7.07
a1c1s1,0.057,0.412,0.5,0.831,0.992,0,0.037,2,3,2457.333,3778,4,1,0,0.463,5,155,0.209,5,277,0.391,69,0.677,0.416,0.5,0.833,0.037,2,2,3698,3806,3590,0.677,5,276,155,8695.017,62.693,3598.232,LIMIT,TIME_LIM_SOL,"14,146.1491","8,695.0168",62.6926%,1,0.16,3599.19
a280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"2,550.0000","2,550.0000",0.0000%,1951,0.59,8.58
a280MTZ,0.201,0.643,0.801,0.976,0.822,0.01,0.005,5,284,1094.387,62320,2,1,0,7.175,5,78,486.862,5,214,6.107,37,495.809,0.122,0.579,0.211,0.311,15216,15216,13.961,126024,2,65.052,0,10,2,2534,8.8,2590.193,LIMIT,TIME_LIM_SOL,"2,757.0000","2,534.0000",8.8003%,1,1.47,3095.85
aaa1,0.006,0.931,0.931,1,1,0,0,2,39,59.256,389,2,0,0,0.008,2,8,0.001,1,6,0.006,4,0.012,0.931,0.931,1,0,39,39,59.256,389,2,0.002,0,0,0,1584654.084,0,0.053,SOLVED,OPTIMAL_RGAP,"1,584,654.8024","1,584,654.0845",0.0000%,1,0.76,0.83
acc3,0.094,0.064,0.481,0.892,0.15,0.095,0.023,2,2,5656.5,6768,4545,1,0,0.293,3,101,0.029,3,35,0.245,39,0.325,0.165,0.562,0.294,0.245,5,5,1438.4,4576,654,0.217,1,24,68,0,1.340781E156,24.723,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,44,0.36,1195.08
acc4,0.096,0.088,0.5,0.893,0.197,0.081,0.023,2,2,5688,5771,5605,1,0,0.348,5,111,0.061,5,72,0.292,46,0.414,0.191,0.716,0.266,0.265,8,8,1033.375,3676,2,0.411,4,68,111,0,0,5.684,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,1,0.38,6.73
acc6,0.051,0.185,0.774,0.412,0.581,0.027,0.177,4,25,212.72,1427,2,1,0,0.151,4,66,0.016,3,30,0.126,30,0.171,0.363,0.894,0.406,0.18,16,16,339.313,1189,29,0.1,1,21,39,0,1.340781E156,10.659,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,15,0.60,108.76
acc_tight4,0.094,0.088,0.5,0.893,0.197,0.081,0.023,2,2,5688,5771,5605,1,0,0.348,5,111,0.061,5,72,0.291,46,0.412,0.191,0.716,0.266,0.265,8,8,1033.375,3676,2,0.409,4,68,111,0,0,5.686,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,1,0.38,6.73
acc_tight5,0.048,0.164,0.488,0.556,0.605,0.025,0.117,2,22,269.182,3520,2,1,0,0.244,5,102,0.026,5,49,0.204,48,0.272,0.362,0.891,0.406,0.18,14,14,387.357,1186,50,0.176,2,29,63,0,1.340781E156,23.132,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,20,0.59,134.64
acc_tight6,0.05,0.185,0.774,0.412,0.581,0.027,0.177,4,25,212.72,1427,2,1,0,0.152,4,66,0.017,3,30,0.127,30,0.173,0.363,0.894,0.406,0.18,16,16,339.313,1189,29,0.101,1,21,39,0,1.340781E156,10.654,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,15,0.59,108.85
actv10a_full,1.351,0.747,1,0.747,1,0,0.058,22,2268,179.727,208,155,0,0,13.859,2,15,8.626,1,47,11.948,15,22.792,0.987,1,0.988,0.002,2268,2268,774.229,803,742,8.871,0,45,1,4667308.04,0,153.326,SOLVED,OPTIMAL_RGAP,"4,667,308.0416","4,667,308.0400",0.0000%,1,10.36,197.11
aflow30a,0.016,0.627,0.972,0.644,1,0,0.088,10,196,5.51,54,2,0,0,0.016,4,12,0.003,3,12,0.013,15,0.023,0.712,0.965,0.738,0.061,29,29,43.483,57,30,0.005,0,3,1,983.167,24.699,0.993,SOLVED,OPTIMAL,"1,158.0000","1,158.0000",0.0000%,38986,0.05,2235.33
aflow40b,0.03,0.843,0.975,0.864,1,0,0.029,7,147,27.054,114,2,0,0,0.013,4,3,0.002,3,5,0.012,6,0.019,0.851,0.974,0.873,0.027,39,39,104.821,114,90,0.005,0,0,1,1005.682,25.984,3.927,LIMIT,TIME_LIM_SOL,"1,239.0000","1,094.4989",13.2025%,59618,0.14,3599.87
afpc,0.043,0.423,0.777,0.544,1,0,0.122,3,92,45.043,1755,3,0,0,0.042,2,19,0.015,2,41,0.036,15,0.06,0.556,0.572,0.971,0.006,7,7,932.286,3800,4,0.014,0,12,3,27300,0,0.158,SOLVED,OPTIMAL,"27,300.0000","27,300.0000",0.0000%,1,0.10,0.40
air03,0.059,0.021,0.334,0.064,1,0,0.55,4,7,414.286,2322,5,0,0,0.026,2,16,0.02,1,20,0.015,17,0.051,0.035,0.767,0.045,0.62,12,12,142.417,534,5,0.025,0,5,15,338864.25,0.382,4.823,SOLVED,OPTIMAL,"340,160.0000","340,160.0000",0.0000%,3,0.51,6.84
air04,0.013,0,0,0,0,0,0,-1,0,0,0,0,-1,0,5.138,5,907,0.294,5,208,4.044,498,5.437,0.026,0.915,0.029,0.71,19,19,140.632,361,5,1.219,0,12,199,55535.436,1.085,32.141,SOLVED,OPTIMAL,"56,137.0000","56,137.0000",0.0000%,53,3.51,128.90
air05,0.011,0,0,0,0,0,0,-1,0,0,0,0,-1,0,1.223,2,243,0.061,2,52,0.952,209,1.294,0.024,0.821,0.029,0.705,14,14,146.5,660,3,0.732,0,11,144,25877.609,2.424,25.44,SOLVED,OPTIMAL_RGAP,"26,374.0000","26,371.6140",0.0090%,462,2.08,375.31
airland4_R3,0.031,0.025,0.496,1,0.05,0.15,0,2,2,2581,2823,2339,1,0,0.084,5,69,0.088,5,97,0.061,49,0.18,0.08,0.384,0.209,0.313,3,3,1162.667,2672,315,0.103,2,54,44,0,1.3E14,0.68,SOLVED,OPTIMAL,130.0000,130.0000,0.0000%,937,0.05,117.87
airland8_R2,0.14,0.213,0.499,1,0.427,0.043,0,2,2,14123.5,14830,13417,1,0,0.139,5,45,5.426,5,212,0.102,29,5.573,0.053,0.5,0.107,0.448,2,2,7610.5,7649,7572,3.99,1,142,19,135,0,3103.882,SOLVED,OPTIMAL,135.0000,135.0000,0.0000%,1,0.64,3166.83
aligninq,0.042,0.133,0.436,0.319,0.957,0.002,0.228,2,3,406.333,853,36,1,0,0.067,5,62,0.035,5,65,0.046,50,0.11,0.185,0.632,0.292,0.246,3,3,508,711,312,0.108,4,62,62,2658.124,2.064,28.848,LIMIT,TIME_LIM_SOL,"2,713.0000","2,701.6222",0.4211%,391,0.39,3599.18
amgen_divided,2.532,0.225,0.524,0.973,0.441,0.041,0.006,2,12,29229.5,171578,585,1,0,13.709,2,474,3.022,2,151,8.813,39,16.798,0.392,0.615,0.637,0.09,15,15,20051.8,150902,585,16.418,1,124,474,18481202.186,87.732,3548.046,LIMIT,TIME_LIM_SOL,"2,267,324.8345","18,481,202.1860",87.7317%,1,12.39,3580.05
app1_2,0.062,0.881,0.936,1,0.941,0.003,0,16,16,9082.188,9600,3600,1,0,0.423,3,4,1.242,2,190,0.398,4,1.684,0.262,0.671,0.39,0.189,165,165,674.576,63691,42,1.046,1,103,4,-44.196,7.23,1516.377,LIMIT,TIME_LIM_SOL,-41.0000,-44.1955,7.2304%,6,6.47,3581.05
arki001,0.031,0.755,0.947,0.798,1,0,0.045,4,19,592.684,741,465,0,0,0.007,2,1,0.001,1,3,0.006,2,0.016,0.755,0.947,0.798,0.045,19,19,592.684,741,465,0.007,0,0,0,7580600.079,0.03,16.662,SOLVED,OPTIMAL_RGAP,"7,581,077.2320","7,580,705.7103",0.0049%,6640,0.16,1664.19
ash608gpia_3col,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,INFEASIBLE,,0.0000,,0,0.02,0.02
asml2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL_RGAP,"1,100,611.0000","1,100,502.0000",0.0099%,6183,6.78,25.04
assign1000,0.379,0,0,0,0,0,0,-1,0,0,0,0,-1,0,68.958,2,380,2.317,1,32,49.481,136,71.389,0.082,0.999,0.082,0.5,1000,1000,1000,1000,1000,70.755,0,30,380,1.69,0,17.731,SOLVED,OPTIMAL,1.6902,1.6902,0.0000%,1,7.25,98.54
