Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/a1c1s1_decomp_auto1_log.txt:FS: 0.081 0.289 0.500 0.865 0.668 0.020 0.029 2 2 5620.000 5665 5575 1 0 0.969 5 256 0.291 5 265 0.799 84 1.264 0.364 0.509 0.715 0.067 3 3 3542.667 5509 111 0.278 0 59 55 9783.054 37.123 3583.237
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/a280MTZ_decomp_auto1_log.txt:FS: 0.203 0.636 0.801 0.976 0.813 0.010 0.005 5 285 1093.039 62562 2 1 0 5.171 5 83 873.796 5 260 4.086 24 881.386 0.124 0.637 0.195 0.327 18181 18181 11.076 106026 2 465.291 2 127 69 2534.000 8.800 1814.382
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/A2C1S1_decomp_auto1_log.txt:FS: 0.081 0.308 0.500 0.883 0.698 0.018 0.025 2 2 6011.000 6166 5856 1 0 1.349 5 314 0.314 5 275 1.135 107 1.670 0.364 0.499 0.729 0.063 2 2 5696.500 5893 5500 1.669 5 274 314 9746.740 42.497 3584.004
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/acc3_decomp_auto1_log.txt:FS: 0.091 0.087 0.499 0.893 0.194 0.082 0.023 2 2 5698.000 5948 5448 1 0 0.143 2 52 0.022 2 26 0.117 19 0.168 0.204 0.889 0.229 0.295 9 9 715.000 741 694 0.055 0 7 16 0.000 0.000 0.173
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/acc6_decomp_auto1_log.txt:FS: 0.050 0.183 0.843 0.413 0.525 0.032 0.177 5 101 51.802 1005 2 1 0 0.114 5 48 0.020 5 36 0.096 25 0.140 0.363 0.895 0.405 0.181 16 16 339.938 1189 32 0.044 1 16 13 0.000 1.340781E156 9.733
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/acc_tight5_decomp_auto1_log.txt:FS: 0.055 0.026 0.487 0.695 0.076 0.129 0.073 2 51 124.608 3879 2 1 0 0.259 5 110 0.042 5 72 0.216 52 0.307 0.358 0.891 0.401 0.183 14 14 387.357 1186 50 0.163 1 47 52 0.000 1.340781E156 8.937
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/acc_tight6_decomp_auto1_log.txt:FS: 0.050 0.183 0.843 0.413 0.525 0.032 0.177 5 101 51.802 1005 2 1 0 0.115 5 48 0.021 5 36 0.097 25 0.139 0.363 0.895 0.405 0.181 16 16 339.938 1189 32 0.043 1 16 13 0.000 1.340781E156 9.745
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/aflow30a_decomp_auto1_log.txt:FS: 0.026 0.283 0.818 0.399 0.867 0.007 0.184 3 204 7.485 502 2 1 0 0.100 5 58 0.014 4 36 0.082 53 0.123 0.383 0.917 0.417 0.175 70 70 22.200 251 2 0.116 2 34 55 1104.038 4.888 5.029
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/aflow40b_decomp_auto1_log.txt:FS: 0.062 0.638 0.932 0.694 0.985 0.001 0.073 8 54 91.907 600 2 1 0 0.050 3 15 0.022 3 29 0.042 14 0.077 0.655 0.947 0.692 0.074 224 224 22.152 629 2 0.067 1 21 15 1089.510 12.619 6.497
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/air04_decomp_auto1_log.txt:FS: 0.015 0.000 0.000 0.000 0.000 0.000 0.000 -1 0 0.000 0 0 -1 0 7.103 5 1040 0.378 5 241 5.702 524 7.491 0.026 0.820 0.032 0.689 11 11 328.091 945 5 1.576 0 18 222 55769.027 0.794 44.025
