Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/a1c1s1_decomp_auto1_log.txt:FS: 0.057 0.412 0.500 0.831 0.992 0.000 0.037 2 3 2457.333 3778 4 1 0 0.463 5 155 0.209 5 277 0.391 69 0.677 0.416 0.500 0.833 0.037 2 2 3698.000 3806 3590 0.677 5 276 155 8695.017 62.693 3598.232
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/a280MTZ_decomp_auto1_log.txt:FS: 0.201 0.643 0.801 0.976 0.822 0.010 0.005 5 284 1094.387 62320 2 1 0 7.175 5 78 486.862 5 214 6.107 37 495.809 0.122 0.579 0.211 0.311 15216 15216 13.961 126024 2 65.052 0 10 2 2534.000 8.800 2590.193
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/A2C1S1_decomp_auto1_log.txt:FS: 0.058 0.412 0.502 0.827 0.992 0.000 0.038 2 4 1821.500 3740 4 1 0 0.458 5 150 0.205 5 264 0.386 67 0.674 0.415 0.499 0.831 0.037 2 2 3659.500 3791 3528 0.673 5 263 150 8840.926 57.472 3598.324
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/aaa1_decomp_auto1_log.txt:FS: 0.006 0.931 0.931 1.000 1.000 0.000 0.000 2 39 59.256 389 2 0 0 0.008 2 8 0.001 1 6 0.006 4 0.012 0.931 0.931 1.000 0.000 39 39 59.256 389 2 0.002 0 0 0 1584654.084 0.000 0.053
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/acc3_decomp_auto1_log.txt:FS: 0.094 0.064 0.481 0.892 0.150 0.095 0.023 2 2 5656.500 6768 4545 1 0 0.293 3 101 0.029 3 35 0.245 39 0.325 0.165 0.562 0.294 0.245 5 5 1438.400 4576 654 0.217 1 24 68 0.000 1.340781E156 24.723
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/acc4_decomp_auto1_log.txt:FS: 0.096 0.088 0.500 0.893 0.197 0.081 0.023 2 2 5688.000 5771 5605 1 0 0.348 5 111 0.061 5 72 0.292 46 0.414 0.191 0.716 0.266 0.265 8 8 1033.375 3676 2 0.411 4 68 111 0.000 0.000 5.684
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/acc6_decomp_auto1_log.txt:FS: 0.051 0.185 0.774 0.412 0.581 0.027 0.177 4 25 212.720 1427 2 1 0 0.151 4 66 0.016 3 30 0.126 30 0.171 0.363 0.894 0.406 0.180 16 16 339.313 1189 29 0.100 1 21 39 0.000 1.340781E156 10.659
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/acc_tight4_decomp_auto1_log.txt:FS: 0.094 0.088 0.500 0.893 0.197 0.081 0.023 2 2 5688.000 5771 5605 1 0 0.348 5 111 0.061 5 72 0.291 46 0.412 0.191 0.716 0.266 0.265 8 8 1033.375 3676 2 0.409 4 68 111 0.000 0.000 5.686
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/acc_tight5_decomp_auto1_log.txt:FS: 0.048 0.164 0.488 0.556 0.605 0.025 0.117 2 22 269.182 3520 2 1 0 0.244 5 102 0.026 5 49 0.204 48 0.272 0.362 0.891 0.406 0.180 14 14 387.357 1186 50 0.176 2 29 63 0.000 1.340781E156 23.132
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/acc_tight6_decomp_auto1_log.txt:FS: 0.050 0.185 0.774 0.412 0.581 0.027 0.177 4 25 212.720 1427 2 1 0 0.152 4 66 0.017 3 30 0.127 30 0.173 0.363 0.894 0.406 0.180 16 16 339.313 1189 29 0.101 1 21 39 0.000 1.340781E156 10.654
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/actv10a_full_decomp_auto1_log.txt:FS: 1.351 0.747 1.000 0.747 1.000 0.000 0.058 22 2268 179.727 208 155 0 0 13.859 2 15 8.626 1 47 11.948 15 22.792 0.987 1.000 0.988 0.002 2268 2268 774.229 803 742 8.871 0 45 1 4667308.040 0.000 153.326
