Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
A2C1S1,0.081,0.308,0.5,0.883,0.698,0.018,0.025,2,2,6011,6166,5856,1,0,1.349,5,314,0.314,5,275,1.135,107,1.67,0.364,0.499,0.729,0.063,2,2,5696.5,5893,5500,1.669,5,274,314,9746.74,42.497,3584.004,LIMIT,TIME_LIM_SOL,"13,888.7734","9,746.7396",42.4966%,1,0.12,3598.24
B2C1S1,0.081,0.312,0.498,0.84,0.745,0.015,0.035,2,4,3277.25,7077,6,1,0,0.684,5,168,0.218,5,183,0.557,58,0.909,0.345,0.498,0.693,0.073,2,2,5960,6301,5619,0.908,5,182,168,17901.432,257.956,3567.444,LIMIT,TIME_LIM_SOL,"64,079.2700","17,901.4319",257.9561%,1,0.17,3599.01
CMS750_4,0.138,0.745,0.846,0.998,0.882,0.006,0,7,7,6136.143,7964,2495,1,0,0.572,5,36,0.889,5,271,0.494,16,1.471,0.184,0.46,0.401,0.183,17,17,2080.706,25834,172,1.419,4,253,36,252,7.143,1710.589,LIMIT,TIME_LIM_SOL,270.0000,252.0000,7.1429%,13,1.64,3598.78
D_9_9_3,0.052,0.023,0.494,0.968,0.049,0.151,0.007,2,2,3994,4437,3551,1,0,0.026,4,7,0.008,3,14,0.023,7,0.038,0.702,0.875,0.802,0.044,8,8,892.25,942,864,0.033,2,13,6,0,2.8E13,56.62,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,55,0.11,307.40
NSR8K,1.877,0.163,0.489,0.372,0.894,0.006,0.198,2,3,71857.667,123639,54,1,0,11.389,5,594,4.565,5,386,6.663,97,16.026,0.122,0.486,0.25,0.277,2,2,98114.5,114655,81574,16.014,5,385,594,17501383.414,32563.69,505.594,LIMIT,TIME_LIM_SOL,"5,716,597,688.0000","17,501,383.4140",32563.690%,1,2.95,3581.58
TstCase3_txt,0.018,0.706,0.745,0.947,1,0,0.011,4,4,877.25,1070,772,0,0,0.017,2,16,0.003,1,13,0.013,9,0.028,0.779,0.868,0.898,0.022,9,9,383.444,632,137,0.018,0,5,9,8.835,0,0.187,SOLVED,OPTIMAL_RGAP,8.8352,8.8352,0.0001%,1,0.17,1.00
a1c1s1,0.081,0.289,0.5,0.865,0.668,0.02,0.029,2,2,5620,5665,5575,1,0,0.969,5,256,0.291,5,265,0.799,84,1.264,0.364,0.509,0.715,0.067,3,3,3542.667,5509,111,0.278,0,59,55,9783.054,37.123,3583.237,LIMIT,TIME_LIM_SOL,"13,414.7777","9,783.0540",37.1226%,1,0.17,3598.61
a280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"2,550.0000","2,550.0000",0.0000%,1951,0.59,8.56
a280MTZ,0.203,0.636,0.801,0.976,0.813,0.01,0.005,5,285,1093.039,62562,2,1,0,5.171,5,83,873.796,5,260,4.086,24,881.386,0.124,0.637,0.195,0.327,18181,18181,11.076,106026,2,465.291,2,127,69,2534,8.8,1814.382,LIMIT,TIME_LIM_SOL,"2,757.0000","2,534.0000",8.8003%,1,1.45,2717.75
aaa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL_RGAP,"1,584,740.3560","1,584,584.2660",0.0099%,1,0.76,0.84
acc3,0.091,0.087,0.499,0.893,0.194,0.082,0.023,2,2,5698,5948,5448,1,0,0.143,2,52,0.022,2,26,0.117,19,0.168,0.204,0.889,0.229,0.295,9,9,715,741,694,0.055,0,7,16,0,0,0.173,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,1,0.37,11.26
acc4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,1,0.38,6.27
acc6,0.05,0.183,0.843,0.413,0.525,0.032,0.177,5,101,51.802,1005,2,1,0,0.114,5,48,0.02,5,36,0.096,25,0.14,0.363,0.895,0.405,0.181,16,16,339.938,1189,32,0.044,1,16,13,0,1.340781E156,9.733,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,134,0.60,538.01
acc_tight4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,1,0.38,6.30
acc_tight5,0.055,0.026,0.487,0.695,0.076,0.129,0.073,2,51,124.608,3879,2,1,0,0.259,5,110,0.042,5,72,0.216,52,0.307,0.358,0.891,0.401,0.183,14,14,387.357,1186,50,0.163,1,47,52,0,1.340781E156,8.937,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,84,0.59,481.06
acc_tight6,0.05,0.183,0.843,0.413,0.525,0.032,0.177,5,101,51.802,1005,2,1,0,0.115,5,48,0.021,5,36,0.097,25,0.139,0.363,0.895,0.405,0.181,16,16,339.938,1189,32,0.043,1,16,13,0,1.340781E156,9.745,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,134,0.60,538.38
actv10a_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL_RGAP,"4,667,351.1959","4,667,308.0414",0.0009%,1,10.53,98.76
aflow30a,0.026,0.283,0.818,0.399,0.867,0.007,0.184,3,204,7.485,502,2,1,0,0.1,5,58,0.014,4,36,0.082,53,0.123,0.383,0.917,0.417,0.175,70,70,22.2,251,2,0.116,2,34,55,1104.038,4.888,5.029,SOLVED,OPTIMAL,"1,158.0000","1,158.0000",0.0000%,4398,0.05,480.09
aflow40b,0.062,0.638,0.932,0.694,0.985,0.001,0.073,8,54,91.907,600,2,1,0,0.05,3,15,0.022,3,29,0.042,14,0.077,0.655,0.947,0.692,0.074,224,224,22.152,629,2,0.067,1,21,15,1089.51,12.619,6.497,LIMIT,TIME_LIM_SOL,"1,227.0000","1,135.0619",8.0998%,18425,0.14,3599.82
afpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"27,300.0000","27,300.0000",0.0000%,1,0.13,0.22
air03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"340,160.0000","340,160.0000",0.0000%,1,0.51,0.84
air04,0.015,0,0,0,0,0,0,-1,0,0,0,0,-1,0,7.103,5,1040,0.378,5,241,5.702,524,7.491,0.026,0.82,0.032,0.689,11,11,328.091,945,5,1.576,0,18,222,55769.027,0.794,44.025,SOLVED,OPTIMAL_RGAP,"56,137.0000","56,132.0000",0.0089%,119,3.50,472.72
