Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
A2C1S1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.477,5,161,0.199,5,243,0.398,70,0.686,0.392,0.665,0.59,0.105,3,3,2114.333,2338,1950,0.245,1,96,44,6076.901,101.093,3598.428,LIMIT,TIME_LIM_SOL,"12,220.2006","6,076.9013",101.0926%,1,0.11,3599.36
B2C1S1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.376,5,102,0.191,5,232,0.324,50,0.572,0.392,0.705,0.556,0.118,9,9,756.778,2656,70,0.484,3,185,88,8805.95,287.431,3598.409,LIMIT,TIME_LIM_SOL,"34,116.9500","8,805.9500",287.4307%,1,0.17,3599.32
CMS750_4,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.475,5,30,0.655,5,253,0.421,15,1.137,0.178,0.4,0.446,0.161,18,18,1771.222,24602,125,0.411,1,80,12,250,106.8,3595.955,LIMIT,TIME_LIM_SOL,517.0000,250.0000,106.8000%,1,1.63,3598.83
D_9_9_3,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.013,2,2,0,1,1,0.011,3,0.018,0.699,0.875,0.799,0.045,8,8,864,864,864,0.013,0,0,1,0,0,0.741,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,170,0.11,915.57
NSR8K,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,18.083,5,873,3.988,5,336,11.041,126,22.102,0.053,0.42,0.127,0.413,2,2,66877,93692,40062,22.085,4,335,873,13257875.242,39916.856,3552.047,LIMIT,TIME_LIM_SOL,"5,305,384,887.0000","13,257,875.2420",39916.860%,1,2.96,3577.58
TstCase3_txt,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.007,1,4,0.004,1,13,0.006,2,0.022,0.894,0.938,0.954,0.01,62,62,73.984,617,7,0.02,0,6,4,8.826,0.102,2.15,ERROR,OPTIMAL_COND,8.8352,8.8352,0.0000%,7,0.15,8.50
a1c1s1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.379,5,130,0.218,5,275,0.316,58,0.602,0.357,0.663,0.539,0.124,4,4,1555.75,2414,6,0.593,4,254,130,5451.805,147.326,3598.374,LIMIT,TIME_LIM_SOL,"13,483.7191","5,451.8050",147.3258%,1,0.16,3599.40
a280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"2,550.0000","2,550.0000",0.0000%,1951,0.59,8.53
a280MTZ,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,12.047,5,119,575.135,5,259,10.376,50,589.791,0.125,0.647,0.193,0.329,19117,19117,10.325,103040,2,245.182,2,119,79,2534,8.8,2402.735,LIMIT,TIME_LIM_SOL,"2,757.0000","2,534.0000",8.8003%,1,1.45,3001.16
aaa1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.009,2,8,0.002,1,6,0.006,4,0.014,0.925,0.932,0.993,0.001,39,39,59.077,389,2,0.006,0,0,0,1584654.084,0,0.12,SOLVED,OPTIMAL_RGAP,"1,584,654.8024","1,584,654.0845",0.0000%,1,0.75,0.89
acc3,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.269,2,72,0.028,2,28,0.23,25,0.303,0.193,0.647,0.298,0.242,7,7,1220.571,4414,2,0.299,1,23,72,0,1.340781E156,82.375,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,21,0.35,1333.53
acc4,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.249,2,69,0.044,2,41,0.211,23,0.298,0.188,0.657,0.286,0.25,3,3,2828.333,3511,2485,0.296,1,39,69,0,0,5.685,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,1,0.38,6.46
acc6,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.191,4,75,0.009,3,16,0.161,36,0.204,0.363,0.894,0.406,0.18,16,16,339.313,1189,29,0.104,0,3,36,0,1.340781E156,10.649,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,15,0.59,108.71
acc_tight4,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.25,2,69,0.046,2,41,0.212,23,0.303,0.188,0.657,0.286,0.25,3,3,2828.333,3511,2485,0.301,1,39,69,0,0,5.689,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,1,0.39,6.48
acc_tight5,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.139,5,59,0.009,4,16,0.116,26,0.151,0.359,0.903,0.397,0.185,18,18,297.278,1164,29,0.116,1,11,45,0,1.340781E156,28.042,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,19,0.58,138.97
acc_tight6,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.189,4,75,0.008,3,16,0.161,36,0.2,0.363,0.894,0.406,0.18,16,16,339.313,1189,29,0.101,0,3,36,0,1.340781E156,10.65,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,15,0.59,108.58
