Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/a1c1s1_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.797 5 211 0.249 5 216 0.653 72 1.051 0.328 0.645 0.509 0.135 4 4 2355.500 4328 85 0.850 3 168 172 9783.054 32.276 3583.729
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/a280MTZ_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 24.095 5 379 1031.202 5 240 18.777 75 1057.897 0.125 0.636 0.196 0.326 19126 19126 10.370 107294 2 159.815 1 60 304 2534.000 8.800 1461.916
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/A2C1S1_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.952 5 249 0.264 5 213 0.780 82 1.222 0.269 0.500 0.538 0.124 2 2 5098.000 5194 5002 1.221 4 212 249 9746.740 42.497 3585.066
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/acc3_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.296 2 82 0.032 2 32 0.251 27 0.331 0.194 0.712 0.272 0.260 5 5 1689.600 3795 872 0.328 1 29 82 0.000 0.000 0.161
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/acc6_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.157 5 59 0.012 4 20 0.133 31 0.174 0.363 0.895 0.405 0.181 16 16 339.938 1189 32 0.074 0 3 23 0.000 1.340781E156 9.711
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/acc_tight5_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.222 5 102 0.018 4 35 0.183 41 0.243 0.358 0.895 0.400 0.183 16 16 338.750 1186 29 0.082 0 4 37 0.000 1.340781E156 27.630
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/acc_tight6_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.157 5 59 0.012 4 20 0.134 31 0.172 0.363 0.895 0.405 0.181 16 16 339.938 1189 32 0.072 0 3 23 0.000 1.340781E156 9.742
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/aflow30a_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.170 3 80 0.011 3 26 0.141 72 0.190 0.383 0.917 0.417 0.175 70 70 22.200 251 2 0.170 1 19 72 1104.038 4.888 5.129
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/aflow40b_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 1.336 5 328 0.164 4 211 1.148 202 1.509 0.591 0.960 0.615 0.097 784 784 5.019 351 2 0.292 0 4 72 1089.510 14.363 7.296
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/air04_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 7.139 5 1040 0.382 5 241 5.722 524 7.528 0.026 0.820 0.032 0.689 11 11 328.091 945 5 1.582 0 18 222 55769.027 0.794 44.124
