Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/a1c1s1_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.379 5 130 0.218 5 275 0.316 58 0.602 0.357 0.663 0.539 0.124 4 4 1555.750 2414 6 0.593 4 254 130 5451.805 147.326 3598.374
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/a280MTZ_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 12.047 5 119 575.135 5 259 10.376 50 589.791 0.125 0.647 0.193 0.329 19117 19117 10.325 103040 2 245.182 2 119 79 2534.000 8.800 2402.735
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/A2C1S1_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.477 5 161 0.199 5 243 0.398 70 0.686 0.392 0.665 0.590 0.105 3 3 2114.333 2338 1950 0.245 1 96 44 6076.901 101.093 3598.428
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/aaa1_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.009 2 8 0.002 1 6 0.006 4 0.014 0.925 0.932 0.993 0.001 39 39 59.077 389 2 0.006 0 0 0 1584654.084 0.000 0.120
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/acc3_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.269 2 72 0.028 2 28 0.230 25 0.303 0.193 0.647 0.298 0.242 7 7 1220.571 4414 2 0.299 1 23 72 0.000 1.340781E156 82.375
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/acc4_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.249 2 69 0.044 2 41 0.211 23 0.298 0.188 0.657 0.286 0.250 3 3 2828.333 3511 2485 0.296 1 39 69 0.000 0.000 5.685
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/acc6_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.191 4 75 0.009 3 16 0.161 36 0.204 0.363 0.894 0.406 0.180 16 16 339.313 1189 29 0.104 0 3 36 0.000 1.340781E156 10.649
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/acc_tight4_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.250 2 69 0.046 2 41 0.212 23 0.303 0.188 0.657 0.286 0.250 3 3 2828.333 3511 2485 0.301 1 39 69 0.000 0.000 5.689
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/acc_tight5_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.139 5 59 0.009 4 16 0.116 26 0.151 0.359 0.903 0.397 0.185 18 18 297.278 1164 29 0.116 1 11 45 0.000 1.340781E156 28.042
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/acc_tight6_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.189 4 75 0.008 3 16 0.161 36 0.200 0.363 0.894 0.406 0.180 16 16 339.313 1189 29 0.101 0 3 36 0.000 1.340781E156 10.650
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/actv10a_full_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 108.374 2 89 0.139 1 1 95.963 76 108.771 0.987 1.000 0.988 0.002 2268 2268 774.229 803 742 94.744 0 0 74 4667308.040 0.000 153.093
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/aflow30a_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.028 3 21 0.001 2 5 0.022 23 0.034 0.712 0.965 0.738 0.061 29 29 43.483 57 30 0.023 0 0 13 983.167 24.699 0.992
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/aflow40b_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.046 2 14 0.000 1 1 0.039 15 0.052 0.851 0.974 0.873 0.027 39 39 104.821 114 90 0.045 0 0 11 1005.682 25.984 3.906
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/afpc_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.044 1 19 0.010 1 27 0.037 15 0.058 0.412 0.418 0.986 0.003 5 5 1320.000 4719 6 0.058 0 26 19 27300.000 0.000 0.096
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/air03_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.533 5 135 0.048 4 46 0.397 139 0.587 0.038 0.420 0.091 0.480 4 4 1213.250 3403 5 0.295 0 8 63 338901.400 0.371 29.205
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/air04_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 5.161 5 907 0.296 5 208 4.056 498 5.463 0.026 0.915 0.029 0.710 19 19 140.632 361 5 1.227 0 12 199 55535.436 1.085 32.218
