Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
A2C1S1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.952,5,249,0.264,5,213,0.78,82,1.222,0.269,0.5,0.538,0.124,2,2,5098,5194,5002,1.221,4,212,249,9746.74,42.497,3585.066,LIMIT,TIME_LIM_SOL,"13,888.7734","9,746.7396",42.4966%,1,0.11,3598.89
B2C1S1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1.099,5,266,0.218,5,191,0.91,86,1.324,0.348,0.469,0.741,0.06,2,2,6093.5,7601,4586,1.322,4,190,266,17901.432,258.268,3566.896,LIMIT,TIME_LIM_SOL,"64,135.1600","17,901.4319",258.2683%,1,0.17,3598.73
CMS750_4,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.595,5,35,1.006,5,312,0.52,16,1.608,0.191,0.412,0.463,0.154,17,17,2154.059,27928,80,1.253,3,231,29,250,41.2,843.178,LIMIT,TIME_LIM_SOL,346.0000,250.0000,38.4000%,11,1.63,3598.46
D_9_9_3,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.014,2,2,0,1,1,0.013,3,0.018,0.702,0.875,0.802,0.044,8,8,892.25,942,864,0.013,0,0,1,0,2.8E13,57.223,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,55,0.10,308.37
NSR8K,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,21.206,5,1018,4.001,5,333,12.87,145,25.246,0.067,0.599,0.113,0.437,4,4,33819,73823,16,16.841,1,126,680,17501383.414,26032.716,487.76,LIMIT,TIME_LIM_SOL,"4,573,586,814.0000","17,501,383.4140",26032.720%,1,2.96,3574.71
TstCase3_txt,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.017,2,16,0.004,1,13,0.012,8,0.028,0.779,0.868,0.898,0.022,9,9,383.444,632,137,0.017,0,5,9,8.835,0,0.186,SOLVED,OPTIMAL_RGAP,8.8352,8.8352,0.0001%,1,0.17,0.97
a1c1s1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.797,5,211,0.249,5,216,0.653,72,1.051,0.328,0.645,0.509,0.135,4,4,2355.5,4328,85,0.85,3,168,172,9783.054,32.276,3583.729,LIMIT,TIME_LIM_SOL,"12,940.6134","9,783.0540",32.2758%,1,0.16,3599.09
a280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"2,550.0000","2,550.0000",0.0000%,1951,0.59,8.74
a280MTZ,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,24.095,5,379,1031.202,5,240,18.777,75,1057.897,0.125,0.636,0.196,0.326,19126,19126,10.37,107294,2,159.815,1,60,304,2534,8.8,1461.916,LIMIT,TIME_LIM_SOL,"2,757.0000","2,534.0000",8.8003%,1,1.45,2540.11
aaa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL_RGAP,"1,584,740.3560","1,584,584.2660",0.0099%,1,0.76,0.85
